ID,WARD,SPECIES,DIAMETER,LON,LAT
5216,1,Yew,1,-79.5517646868327,43.7241212465604
7116,1,"Mulberry, white weeping",1,-79.5523593938431,43.7391230871965
7799,1,"Spruce, Colorado blue",1,-79.6009846583581,43.7548010161131
24902,1,Yew,1,-79.5752524775168,43.7336212795678
29347,1,"Spruce, Colorado blue",1,-79.6070847121609,43.7515308642694
30871,1,"Apple, Sargents",1,-79.5677568743301,43.7276350442585
36705,1,"Spruce, Colorado blue",1,-79.5677010758916,43.7398736796331
39406,1,"Spruce, white",1,-79.605814907077,43.7307842144731
39870,1,Spruce,1,-79.6315986839902,43.7468940508372
41340,1,Yew,1,-79.5739783601806,43.6760902921512
44720,1,"Apple, Sargents",1,-79.5412544382663,43.702565062131
56083,1,"Spruce, Colorado blue",1,-79.5994415103603,43.7346679370959
61495,1,"Mulberry, white weeping",1,-79.6039663442555,43.7483549053601
61919,1,"Spruce, white",1,-79.576002548689,43.7328833125147
11428,1,"Spruce, white",2,-79.5726143002984,43.7265904111726
13414,1,Plum,2,-79.5983896358402,43.7564968901222
15012,1,Horsechestnut,2,-79.534519994689,43.699973260178
17160,1,"Maple, Freeman Armstrong",2,-79.5545954667214,43.7002215300946
20126,1,"Spruce, Colorado blue",2,-79.6029453457305,43.7559505197834
26584,1,Mountain ash,2,-79.5502693828258,43.7222076729646
33705,1,Cherry,2,-79.5702382804228,43.7253972691555
33714,1,Spruce,2,-79.5683415304598,43.7310227704957
35908,1,"Maple, Norway Crimson King",2,-79.587028620061,43.7512367234062
41249,1,"Cherry, choke",2,-79.5435397688,43.7141610000799
45513,1,"Catalpa, mop head",2,-79.599367519781,43.7565009498074
52815,1,"Maple, sugar",2,-79.6005139984797,43.7558236156639
1522,1,"Linden, littleleaf",3,-79.5666161236848,43.6762179757323
15145,1,Serviceberry,3,-79.5591098210744,43.6957366714531
16118,1,Kentucky coffeetree,3,-79.5648442384539,43.7243787523669
23615,1,Ginkgo,3,-79.5853901239292,43.7510429392052
28046,1,Ginkgo,3,-79.5489490714168,43.7096397540897
32200,1,"Linden, littleleaf",3,-79.5649613234714,43.6766026903818
35440,1,Serviceberry,3,-79.5975653123496,43.7179154906657
43750,1,"Beech, European purple leaf",3,-79.621083849562,43.7217494024316
44349,1,"Hazel, Turkish",3,-79.5756402478914,43.7357148621974
50718,1,Serviceberry,3,-79.5589920464236,43.7328608451087
51228,1,"Oak, red",3,-79.5670461187917,43.7136404729672
62617,1,"Beech, American",3,-79.5728350820352,43.6951158341214
62925,1,"Oak, white",3,-79.5648050740557,43.7068701578021
246,1,Honey locust Skyline,4,-79.5668188318038,43.7166064037745
336,1,"Planetree, London",4,-79.5911223572256,43.7188485767103
418,1,"Oak, bur",4,-79.5651142087088,43.7203575797309
1340,1,Ginkgo,4,-79.6058785525757,43.7032135986598
1345,1,Redbud,4,-79.565011130046,43.72493201802
1605,1,Serviceberry,4,-79.5584285447862,43.7372009412575
2101,1,"Horsechestnut, Baumanii",4,-79.563441587478,43.6968329476268
2239,1,"Maple, Freeman Autumn Blaze",4,-79.6043351187792,43.7516484696036
3421,1,"Oak, swamp white",4,-79.5575815704175,43.7389770782336
3581,1,"Linden, littleleaf Glenleven",4,-79.5682694931664,43.7306479841655
3951,1,Ginkgo,4,-79.6175984783684,43.7241768068468
3994,1,Hackberry,4,-79.6023978601923,43.7511808269501
4170,1,Honey locust Skyline,4,-79.5604854191666,43.7200173282152
4278,1,Hackberry,4,-79.5748221846449,43.7318691934467
4520,1,Honey locust,4,-79.606121320129,43.7491555533343
4714,1,Ginkgo,4,-79.5900987122794,43.7502285142253
4735,1,Ginkgo,4,-79.5850486340855,43.7238864854743
4756,1,"Maple, Freeman Marmo",4,-79.5533933222333,43.7389921271939
4778,1,"Basswood, American",4,-79.6010093603866,43.7448938287394
4794,1,Ginkgo,4,-79.5941286702311,43.7515836288351
4834,1,"Maple, Freeman Marmo",4,-79.5585309699235,43.7375893996638
4910,1,Kentucky coffeetree,4,-79.5524371042379,43.7265813937267
5006,1,"Oak, bur",4,-79.5895887333679,43.723453378764
5725,1,Honey locust Skyline,4,-79.5875911936651,43.7176410736481
6116,1,"Maple, black",4,-79.5974312747821,43.7399282729802
6331,1,"Oak, swamp white",4,-79.565272609588,43.7283477947577
6355,1,Ginkgo,4,-79.5506602287782,43.7209705488274
7824,1,Lilac,4,-79.5647957312328,43.7285223840538
8187,1,"Catalpa, northern",4,-79.5930781499967,43.7280258496658
8313,1,"Maple, Freeman Autumn Blaze",4,-79.5516604472889,43.7145232945569
8400,1,"Kentucky coffeetree, Espresso",4,-79.5853687606587,43.7192043015139
8446,1,Ginkgo,4,-79.5918065121679,43.7476183630113
8582,1,"Basswood, American",4,-79.5952786306467,43.7290491424938
8774,1,"Buckeye, yellow",4,-79.5446680155169,43.7161089682327
8825,1,"Oak, swamp white",4,-79.5499738880025,43.7054305774503
9068,1,"Oak, white",4,-79.5696619141573,43.6867046687902
9224,1,Ginkgo,4,-79.573517042056,43.7283245889199
9275,1,Ginkgo,4,-79.5802165562517,43.735303590545
9562,1,"Yellowwood, Kentucky",4,-79.5939043036428,43.7324665180471
9588,1,Tulip tree,4,-79.5873689830732,43.7510513540322
9654,1,"Maple, Norway",4,-79.5567740066867,43.729484696573
9811,1,Hackberry,4,-79.5915907074196,43.7475097115504
9818,1,Tulip tree,4,-79.5716149961236,43.7435128805813
9865,1,"Lilac, Japanese",4,-79.5897632115183,43.7555276758986
10181,1,"Catalpa, northern",4,-79.6015292001445,43.7566277581101
10274,1,"Buckeye, yellow",4,-79.5536333853097,43.7393373286332
10442,1,"Maple, sugar",4,-79.5940375855035,43.7481080060905
10491,1,"Oak, swamp white",4,-79.5747144595522,43.7337946541441
10835,1,Serviceberry,4,-79.6243532886198,43.7312255122017
11048,1,Honey locust Skyline,4,-79.5959214803921,43.7316502225764
11166,1,"Oak, red",4,-79.5695317949908,43.6864031953339
